user_id,item_id,pred_score,rank
946,1,5.0,1
946,3988,5.0,2
946,3987,5.0,3
946,3986,5.0,4
946,3984,5.0,5
946,3983,5.0,6
946,3981,5.0,7
946,3980,5.0,8
946,3979,5.0,9
946,3977,5.0,10
315,1,5.0,1
315,3993,5.0,2
315,3988,5.0,3
315,3987,5.0,4
315,3986,5.0,5
315,3984,5.0,6
315,3983,5.0,7
315,3981,5.0,8
315,3980,5.0,9
315,3979,5.0,10
980,1,5.0,1
980,3988,5.0,2
980,3987,5.0,3
980,3986,5.0,4
980,3984,5.0,5
980,3983,5.0,6
980,3981,5.0,7
980,3980,5.0,8
980,3979,5.0,9
980,3977,5.0,10
57,1,5.0,1
57,3996,5.0,2
57,3993,5.0,3
57,3988,5.0,4
57,3987,5.0,5
57,3986,5.0,6
57,3984,5.0,7
57,3983,5.0,8
57,3981,5.0,9
57,3980,5.0,10
464,1,5.0,1
464,3993,5.0,2
464,3988,5.0,3
464,3987,5.0,4
464,3986,5.0,5
464,3984,5.0,6
464,3983,5.0,7
464,3981,5.0,8
464,3980,5.0,9
464,3979,5.0,10
928,318,4.102602569487917,1
928,527,4.060368045562269,2
928,593,4.055099901231819,3
928,2571,4.04723721192408,4
928,50,4.045460532135787,5
928,356,4.0430014858152905,6
928,296,4.041166055312189,7
928,4993,4.03696610447847,8
928,457,4.034110233594125,9
928,7153,4.033441366385724,10
841,318,4.102034784814396,1
841,356,4.057331859947539,2
841,527,4.0473732794502855,3
841,593,4.046215209367855,4
841,296,4.0423627460179326,5
841,6016,4.036902373005404,6
841,4973,4.035958577127743,7
841,457,4.031156380145373,8
841,4993,4.030618637114144,9
841,364,4.02835371346203,10
550,1,5.0,1
550,3988,5.0,2
550,3987,5.0,3
550,3986,5.0,4
550,3984,5.0,5
550,3983,5.0,6
550,3981,5.0,7
550,3980,5.0,8
550,3979,5.0,9
550,3977,5.0,10
919,318,3.580935092960345,1
919,593,3.5386926895864557,2
919,356,3.5385771176535514,3
919,527,3.536020297081741,4
919,4993,3.535521467933386,5
919,7153,3.53198413915486,6
919,296,3.5304957802479247,7
919,50,3.5303447311169904,8
919,457,3.527641932501792,9
919,2571,3.5249835039537403,10
486,1,5.0,1
486,3988,5.0,2
486,3987,5.0,3
486,3986,5.0,4
486,3984,5.0,5
486,3983,5.0,6
486,3981,5.0,7
486,3980,5.0,8
486,3979,5.0,9
486,3977,5.0,10
